date,file,T_t
2024-09-24,oisst-avhrr-v02r01.20240924.nc,27.895797729492188
2024-09-25,oisst-avhrr-v02r01.20240925.nc,27.730411529541016
2024-09-26,oisst-avhrr-v02r01.20240926.nc,27.666027069091797
2024-09-27,oisst-avhrr-v02r01.20240927.nc,27.511825561523438
2024-09-28,oisst-avhrr-v02r01.20240928.nc,27.269315719604492
2024-09-29,oisst-avhrr-v02r01.20240929.nc,27.04241943359375
2024-09-30,oisst-avhrr-v02r01.20240930.nc,26.945112228393555
2024-10-01,oisst-avhrr-v02r01.20241001.nc,26.866300582885742
2024-10-02,oisst-avhrr-v02r01.20241002.nc,26.525068283081055
2024-10-03,oisst-avhrr-v02r01.20241003.nc,26.138307571411133
2024-10-04,oisst-avhrr-v02r01.20241004.nc,25.916208267211914
2024-10-05,oisst-avhrr-v02r01.20241005.nc,25.907304763793945
